Total params: 551,771,568
Trainable params: 274,802,328
 2026-08-17 at 04:46:34 | Using device: cuda
 2026-08-17 at 04:47:54 | Epoch [1] | Rasa projections metrics | T2A: R@1=0.001, R@5=0.004, R@10=0.011, MedR=461.000, MeanR=524.875, mAP=0.008 | A2T: R@1=0.002, R@5=0.004, R@10=0.013, MedR=442.000, MeanR=514.376, mAP=0.010
 2026-08-17 at 04:47:54 | Epoch [1] | Rasa predictions metrics | T2A: R@1=0.002, R@5=0.005, R@10=0.014, MedR=293.000, MeanR=323.062, mAP=0.011 | A2T: R@1=0.001, R@5=0.007, R@10=0.018, MedR=247.000, MeanR=303.188, mAP=0.013
 2026-08-17 at 04:47:54 | Epoch [1] | Rasa ema projections metrics | T2A: R@1=0.001, R@5=0.004, R@10=0.007, MedR=384.000, MeanR=448.569, mAP=0.008 | A2T: R@1=0.003, R@5=0.006, R@10=0.007, MedR=495.000, MeanR=523.783, mAP=0.009
 2026-08-17 at 04:47:54 | Epoch [1] | Rasa ema predictions metrics | T2A: R@1=0.001, R@5=0.004, R@10=0.013, MedR=309.000, MeanR=336.372, mAP=0.010 | A2T: R@1=0.001, R@5=0.006, R@10=0.014, MedR=312.000, MeanR=350.516, mAP=0.011
 2026-08-17 at 04:47:55 | Epoch [1] | IndicVoices projections metrics | T2A: R@1=0.000, R@5=0.005, R@10=0.009, MedR=517.000, MeanR=607.238, mAP=0.007 | A2T: R@1=0.000, R@5=0.005, R@10=0.007, MedR=664.000, MeanR=683.461, mAP=0.006
 2026-08-17 at 04:47:55 | Epoch [1] | IndicVoices predictions metrics | T2A: R@1=0.001, R@5=0.008, R@10=0.015, MedR=388.000, MeanR=443.087, mAP=0.010 | A2T: R@1=0.003, R@5=0.013, R@10=0.020, MedR=319.000, MeanR=399.033, mAP=0.014
 2026-08-17 at 04:47:55 | Epoch [1] | IndicVoices ema projections metrics | T2A: R@1=0.000, R@5=0.003, R@10=0.007, MedR=626.000, MeanR=659.953, mAP=0.006 | A2T: R@1=0.000, R@5=0.003, R@10=0.007, MedR=697.000, MeanR=707.156, mAP=0.005
 2026-08-17 at 04:47:55 | Epoch [1] | IndicVoices ema predictions metrics | T2A: R@1=0.003, R@5=0.008, R@10=0.014, MedR=405.000, MeanR=467.351, mAP=0.011 | A2T: R@1=0.003, R@5=0.009, R@10=0.020, MedR=407.000, MeanR=484.043, mAP=0.012
 2026-08-17 at 06:47:27 | Epoch [1] | Rasa projections metrics | T2A: R@1=0.001, R@5=0.002, R@10=0.007, MedR=543.000, MeanR=586.875, mAP=0.006 | A2T: R@1=0.000, R@5=0.004, R@10=0.010, MedR=609.000, MeanR=627.447, mAP=0.006
 2026-08-17 at 06:47:27 | Epoch [1] | Rasa predictions metrics | T2A: R@1=0.002, R@5=0.005, R@10=0.015, MedR=318.000, MeanR=338.129, mAP=0.011 | A2T: R@1=0.002, R@5=0.007, R@10=0.018, MedR=263.000, MeanR=314.164, mAP=0.013
 2026-08-17 at 06:47:27 | Epoch [1] | Rasa ema projections metrics | T2A: R@1=0.001, R@5=0.005, R@10=0.007, MedR=446.000, MeanR=503.628, mAP=0.007 | A2T: R@1=0.001, R@5=0.004, R@10=0.009, MedR=579.000, MeanR=582.251, mAP=0.007
