Total params: 551,771,568
Trainable params: 274,802,328
 2026-07-16 at 22:59:18 | Using device: cuda
 2026-07-16 at 23:06:31 | Epoch [1] | Rasa projections metrics | T2A: R@1=0.001, R@5=0.003, R@10=0.005, MedR=795.000, MeanR=828.115, mAP=0.005 | A2T: R@1=0.001, R@5=0.003, R@10=0.006, MedR=692.000, MeanR=778.748, mAP=0.005
 2026-07-16 at 23:06:31 | Epoch [1] | Rasa predictions metrics | T2A: R@1=0.003, R@5=0.009, R@10=0.020, MedR=347.000, MeanR=438.550, mAP=0.013 | A2T: R@1=0.001, R@5=0.008, R@10=0.017, MedR=356.000, MeanR=443.562, mAP=0.010
 2026-07-16 at 23:06:32 | Epoch [1] | Rasa ema projections metrics | T2A: R@1=0.001, R@5=0.002, R@10=0.006, MedR=798.000, MeanR=845.069, mAP=0.005 | A2T: R@1=0.000, R@5=0.002, R@10=0.005, MedR=688.000, MeanR=760.552, mAP=0.005
 2026-07-16 at 23:06:33 | Epoch [1] | Rasa ema predictions metrics | T2A: R@1=0.001, R@5=0.007, R@10=0.014, MedR=431.000, MeanR=514.934, mAP=0.010 | A2T: R@1=0.001, R@5=0.006, R@10=0.016, MedR=355.000, MeanR=448.115, mAP=0.010
 2026-07-16 at 23:06:33 | Epoch [1] | IndicVoices projections metrics | T2A: R@1=0.005, R@5=0.021, R@10=0.040, MedR=110.000, MeanR=131.803, mAP=0.027 | A2T: R@1=0.003, R@5=0.021, R@10=0.053, MedR=102.000, MeanR=122.516, mAP=0.028
 2026-07-16 at 23:06:33 | Epoch [1] | IndicVoices predictions metrics | T2A: R@1=0.016, R@5=0.056, R@10=0.117, MedR=71.000, MeanR=90.524, mAP=0.054 | A2T: R@1=0.011, R@5=0.043, R@10=0.074, MedR=71.000, MeanR=94.723, mAP=0.045
 2026-07-16 at 23:06:33 | Epoch [1] | IndicVoices ema projections metrics | T2A: R@1=0.005, R@5=0.024, R@10=0.037, MedR=113.000, MeanR=127.090, mAP=0.027 | A2T: R@1=0.003, R@5=0.024, R@10=0.061, MedR=97.000, MeanR=117.495, mAP=0.030
 2026-07-16 at 23:06:33 | Epoch [1] | IndicVoices ema predictions metrics | T2A: R@1=0.011, R@5=0.051, R@10=0.101, MedR=82.000, MeanR=95.660, mAP=0.047 | A2T: R@1=0.013, R@5=0.040, R@10=0.077, MedR=67.000, MeanR=94.524, mAP=0.044
 2026-07-16 at 23:13:16 | Epoch [2] | Rasa projections metrics | T2A: R@1=0.000, R@5=0.001, R@10=0.001, MedR=1158.000, MeanR=1113.559, mAP=0.002 | A2T: R@1=0.001, R@5=0.001, R@10=0.003, MedR=989.000, MeanR=1252.708, mAP=0.004
 2026-07-16 at 23:13:17 | Epoch [2] | Rasa predictions metrics | T2A: R@1=0.003, R@5=0.019, R@10=0.030, MedR=170.000, MeanR=220.119, mAP=0.020 | A2T: R@1=0.002, R@5=0.011, R@10=0.021, MedR=193.000, MeanR=245.874, mAP=0.016
 2026-07-16 at 23:13:18 | Epoch [2] | Rasa ema projections metrics | T2A: R@1=0.000, R@5=0.001, R@10=0.002, MedR=1168.000, MeanR=1131.194, mAP=0.003 | A2T: R@1=0.001, R@5=0.003, R@10=0.005, MedR=1115.000, MeanR=1272.480, mAP=0.004
 2026-07-16 at 23:13:18 | Epoch [2] | Rasa ema predictions metrics | T2A: R@1=0.002, R@5=0.016, R@10=0.034, MedR=176.000, MeanR=231.125, mAP=0.018 | A2T: R@1=0.002, R@5=0.016, R@10=0.027, MedR=197.000, MeanR=248.343, mAP=0.017
 2026-07-16 at 23:13:18 | Epoch [2] | IndicVoices projections metrics | T2A: R@1=0.005, R@5=0.016, R@10=0.037, MedR=167.000, MeanR=164.144, mAP=0.022 | A2T: R@1=0.005, R@5=0.024, R@10=0.040, MedR=169.000, MeanR=174.173, mAP=0.025
 2026-07-16 at 23:13:18 | Epoch [2] | IndicVoices predictions metrics | T2A: R@1=0.035, R@5=0.072, R@10=0.128, MedR=45.000, MeanR=59.016, mAP=0.077 | A2T: R@1=0.011, R@5=0.056, R@10=0.106, MedR=54.000, MeanR=65.742, mAP=0.054
